aspiration
to buy a
i want to
looking for a
buy a car
i am looking
looking forward to
want to drive
want to get
really want to
i would buy
buy a new
want to buy
am looking for
i'm looking for
would buy a
like to drive
would want
love
best
want
perfect
dream
wish
hope
saving
ultimate
next car
my next
perfect car
one day
dream car
my dream
goals
someday
love to have
